title:exampleEmotiv, start timestamp:1683180947.898011, stop timestamp:1683180957.960511, headset type:INSIGHT, headset serial:79B30521, headset firmware:931, channels:68, sampling rate:mot_64;pm_0.1;pow_8, samples:645       , version:2.2, 
Timestamp,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1683180948.491761,42.000000,0.000000,0.998779,0.000000,0.046875,0.015625,0.968765,0.187503,-0.250004,-76.563667,-16.011787,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.507386,43.000000,0.000000,0.997066,-0.031250,0.062500,0.031250,0.968765,0.187503,-0.218753,-76.563667,-14.410609,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.523011,44.000000,0.000000,0.992526,-0.046875,0.093750,0.062500,0.968765,0.187503,-0.250004,-76.563667,-16.797731,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.538636,45.000000,0.000000,0.986110,-0.062500,0.140625,0.062500,0.968765,0.218753,-0.250004,-76.563667,-18.946142,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.554261,46.000000,0.000000,0.969002,-0.062500,0.234375,0.046875,0.937514,0.187503,-0.250004,-76.563667,-17.051527,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.569886,47.000000,0.000000,0.926234,0.031250,0.359375,-0.109375,0.968765,0.187503,-0.250004,-76.563667,-19.174559,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.585511,48.000000,0.000000,0.717730,0.296875,0.437500,-0.453125,0.968765,0.187503,-0.250004,-76.563667,-21.085285,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.601136,49.000000,0.000000,0.764189,0.031250,0.625000,-0.156250,0.968765,0.218753,-0.250004,-76.563667,-22.804941,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.616761,50.000000,0.000000,0.995596,0.062500,0.031250,-0.062500,0.968765,0.187503,-0.250004,-76.563667,-20.524446,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.632386,51.000000,0.000000,0.717730,0.296875,0.437500,-0.453125,0.968765,0.187503,-0.250004,-76.563667,-22.300186,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.648011,52.000000,0.000000,0.995596,0.062500,0.031250,-0.062500,0.968765,0.187503,-0.250004,-76.563667,-20.070168,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.663636,53.000000,0.000000,0.989076,0.093750,0.031250,-0.109375,0.968765,0.218753,-0.218753,-76.563667,-18.063150,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.679261,54.000000,0.000000,0.973903,0.140625,0.046875,-0.171875,0.968765,0.218753,-0.218753,-76.563667,-16.256836,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.694886,55.000000,0.000000,0.945280,0.187500,0.093750,-0.250000,0.968765,0.187503,-0.250004,-76.563667,-14.631151,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.710511,56.000000,0.000000,0.892268,0.234375,0.203125,-0.328125,0.968765,0.218753,-0.250004,-76.563667,-13.168036,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.726136,57.000000,0.000000,0.831215,0.171875,0.437500,-0.296875,0.968765,0.187503,-0.250004,-76.563667,-15.679417,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.741761,58.000000,0.000000,0.750813,0.171875,0.546875,-0.328125,0.968765,0.218753,-0.250004,-76.563667,-17.939657,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.757386,59.000000,0.000000,0.551764,0.359375,0.500000,-0.562500,0.968765,0.218753,-0.218753,-76.563667,-19.973875,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.773011,60.000000,0.000000,0.917096,-0.078125,0.390625,0.015625,0.968765,0.218753,-0.250004,-76.563667,-17.976488,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.788636,61.000000,0.000000,0.705551,0.234375,0.531250,-0.406250,0.968765,0.218753,-0.218753,-76.563667,-16.178839,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683180948.804261,62.000000,0.000000,0.665669,0.250000,0.562500,-0.421875,0.968765,0.187503,-0.218753,-76.563667,-14.560955,38.281834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
